"Data","Price"
15.4.16,1345.41
16.4.16,128.92
17.4.16,171.92
18.4.16,196.92
19.4.16,347.03
20.4.16,492.43
21.4.16,892.80
22.4.16,971.07
23.4.16,1311.92
24.4.16,1345.41
25.4.16,46.03
26.4.16,347.03
27.4.16,492.43
28.4.16,631.31
29.4.16,892.80
30.4.16,971.07
1.5.16,1311.92
2.5.16,1345.41
3.5.16,46.03
4.5.16,109.92
5.5.16,129.22
6.5.16,148.92
7.5.16,149.22
8.5.16,347.03
9.5.16,492.43
10.5.16,892.80
11.5.16,1311.92
12.5.16,1345.41
13.5.16,148.92
14.5.16,153.51
15.5.16,154.33
16.5.16,176.51
17.5.16,347.03
18.5.16,491.31
19.5.16,492.43
20.5.16,892.80
21.5.16,1311.92
22.5.16,1345.41
23.5.16,1701.64
24.5.16,46.03
25.5.16,148.92
26.5.16,154.33
27.5.16,172.22
28.5.16,176.51
29.5.16,347.03
30.5.16,379.03
31.5.16,492.43
1.6.16,631.31
2.6.16,892.80
3.6.16,948.35
4.6.16,962.43
5.6.16,1028.35
6.6.16,1311.92
7.6.16,1373.30
8.6.16,2168.93
9.6.16,2229.43
10.6.16,102.30
11.6.16,148.92
12.6.16,153.51
13.6.16,172.22
14.6.16,176.51
15.6.16,492.44
16.6.16,575.03
17.6.16,624.03
18.6.16,892.80
19.6.16,1311.92
20.6.16,1345.41
21.6.16,148.92
22.6.16,348.35
23.6.16,492.43
24.6.16,575.03
25.6.16,892.80
26.6.16,1311.41
27.6.16,1345.41
28.6.16,1893.72
29.6.16,80.03
30.6.16,492.43
1.7.16,575.03
2.7.16,631.31
3.7.16,892.80
4.7.16,1311.41
5.7.16,1345.41
6.7.16,80.03
7.7.16,109.92
8.7.16,110.22
9.7.16,171.92
10.7.16,172.22
11.7.16,492.43
12.7.16,575.03
13.7.16,892.80
14.7.16,1311.92
15.7.16,1345.41
16.7.16,154.33
17.7.16,171.92
18.7.16,176.51
19.7.16,347.03
20.7.16,492.43
21.7.16,575.03
22.7.16,631.31
23.7.16,892.80
24.7.16,1311.41
25.7.16,1345.41
26.7.16,149.22
27.7.16,206.03
28.7.16,207.33
29.7.16,224.92
30.7.16,492.43
31.7.16,575.03
1.8.16,892.80
2.8.16,1311.92
3.8.16,149.22
4.8.16,206.03
5.8.16,224.92
6.8.16,379.03
7.8.16,492.43
8.8.16,631.31
9.8.16,892.80
10.8.16,1311.92
11.8.16,1345.41
12.8.16,148.92
13.8.16,149.22
14.8.16,154.33
15.8.16,176.51
16.8.16,179.33
17.8.16,201.51
18.8.16,206.03
19.8.16,491.31
20.8.16,492.43
21.8.16,624.03
22.8.16,892.80
23.8.16,1311.92
24.8.16,1345.41
25.8.16,178.03
26.8.16,491.31
27.8.16,552.43
28.8.16,892.80
29.8.16,1311.92
30.8.16,1345.41
31.8.16,196.92
1.9.16,197.22
2.9.16,206.03
3.9.16,380.35
4.9.16,492.43
5.9.16,624.03
6.9.16,624.03
7.9.16,892.80
8.9.16,1311.92
9.9.16,289.92
10.9.16,328.92
11.9.16,492.44
12.9.16,552.44
13.9.16,631.31
14.9.16,679.03
15.9.16,723.81
16.9.16,892.80
17.9.16,948.35
18.9.16,953.35
19.9.16,1311.92
20.9.16,1345.41
21.9.16,1373.30
22.9.16,1650.81
23.9.16,1701.64
24.9.16,2168.94
25.9.16,2229.44
26.9.16,235.03
27.9.16,328.92
28.9.16,329.22
